NAME,PARK,OPEN,MARKET,JOB,PRICE,PEOPLE,HOUSE,CLOSE,Y
강남구신사동,0.963384866,-0.133224579,0.079118029,0.152393273,0.121759249,-0.084726639,-0.090876608,101.7,1
연남동,1.012759171,0.026606426,0.970588235,1.084690554,0.457444902,-0.123088204,-0.059007214,52.9,1
이태원1동,1.129287599,0.027266028,0.395555556,0.305424099,0.452992334,-0.125749235,-0.106227106,103.4,1
이태원2동,0.931726908,-0.229693384,0.701754386,0.66,0.452992334,-0.130658342,-0.081918268,79.2,1
혜화동,1.046403712,0.185123967,0.006441224,-0.030473136,0.229186897,-0.03258986,0.002628985,110.8,1
망원1동,0.970689655,-0.133462282,0.292372881,0.231147541,0.367043719,-0.102021134,-0.027804137,77.3,1
망원2동,1.003464203,0.07925072,0.138461538,0.360406091,0.367043719,-0.052288834,0.001586914,92.1,1
삼청동,1.019900498,0.061312078,0.095890411,0.207423581,0.252631803,-0.096643878,-0.080026025,116.8,1
종로5·6가동,1.016241299,-0.162041182,-0.006289308,0.143812709,0.189985521,-0.09601755,0.018286814,111.9,1
종로1.2.3.4가동,0.927099842,-0.022357724,0.069949379,0.07020757,0.056063443,-0.03385947,0.021074616,92.4,1
낙성대동,0.975786925,0.076620825,0.088772846,0.243816254,0.168366866,-0.041061169,0.021512838,89,1
서교동,0.931099874,-0.132288094,0.144506199,0.14018414,0.324698799,-0.133349468,-0.124945364,95.3,1
합정동,0.924801157,-0.097909791,0.168091168,0.217910448,0.275102068,-0.02849457,0.040814105,77.8,1
신정1동,0.976190476,0.176262179,0.004694836,0.069084629,0.203852164,0.110558688,0.125582117,88,0
신정2동,0.985294118,-0.096024006,0.006451613,-0.073005093,0.203852164,-0.053776922,-0.024396819,100.3,0
신정3동,1.037459283,-0.304147465,-0.142156863,-0.067340067,0.203852164,-0.113756101,-0.125396063,119.9,0
신정4동,0.994693681,-0.145586298,0.004175365,-0.00137836,0.203852164,-0.027595591,0.003562568,106.7,0
신정6동,1.043478261,-0.152667075,-0.044776119,-0.00456621,0.203852164,-0.042694956,-0.033056872,97.2,0
신정7동,1.015503876,-0.010889292,0.015748031,-0.068965517,0.203852164,-0.066047535,-0.043371244,101.1,0
신림동,0.984776403,-0.170201485,-0.013071895,0.04023926,0.148442751,0.073056265,0.140705777,114.5,0
양재1동,0.977256053,-0.174524982,0.18697479,0.230644288,0.169056473,0.069693168,0.127087199,92.4,0
양재2동,0.980496454,-0.205727204,-0.001623377,-0.01097115,0.146556791,0.042012723,0.058499323,120,0
신당5동,0.929889299,-0.38009352,-0.01826484,0.046783626,0.121528075,0.031151832,-0.04018049,102.7,0
신당동,0.945107399,-0.118967452,-0.006153846,0.010978044,0.107901169,-0.086755795,0.112299465,160,0
후암동,1.068613139,-0.054054054,0,0.081481481,0.222458609,-0.063084709,-0.036054422,90,0
화곡1동,0.964964592,-0.2310803,0.076323988,0.165926748,0.177691967,-0.019904674,0.116998184,103,0
화곡2동,0.994386102,0.038659794,0.241935484,0.466101695,0.177691967,0.036803771,0.016734342,90.9,0
화곡3동,0.990970655,0.023668639,0.166666667,0.334488735,0.177691967,-0.01262403,-2.20E-04,100,0
화곡4동,0.998327747,-0.14516129,-0.012096774,0.011090573,0.177691967,-0.057493674,0.0061262,112.5,0
화곡6동,0.999143836,-0.269656992,-0.009920635,0.166567872,0.177691967,-0.024168666,0.046083842,113.5,0
화곡8동,1.022529438,-0.03,0.010582011,0.070351759,0.177691967,-0.035224366,0.044838946,98.2,0
화곡본동,1.0296372,-0.334577114,-0.029411765,-0.179591837,0.177691967,-0.03133872,0.060183021,104,0
길동,1.095415118,-0.136243386,0.004987531,-0.087621697,0.161829129,-0.02023127,0.044318858,105.7,0
자양1동,1.0207502,-0.242424242,0.140562249,0.207578254,0.158499962,-0.020692266,0.014038583,95.7,0
자양2동,1.093947606,-0.090121317,-0.009803922,-0.039325843,0.158499962,-0.032954224,-0.006202924,97.9,0
자양3동,0.972972973,-0.082202713,0.105504587,0.197445972,0.158499962,-0.044120905,-0.041728245,93.7,0
자양4동,1.315352697,-0.067760342,0.132169576,0.195348837,0.158499962,-0.138933764,-0.098016433,96.5,0
압구정동,0.972871843,0.14528703,-0.058091286,-0.129180027,0.121759249,-0.03722872,-0.034017914,107.2,0
성내1동,1.066216216,-0.059013743,0.046666667,-0.015060241,0.184825733,0.077209825,0.10537022,97.2,0
성내2동,1.185628743,0.024262295,0.019886364,-0.068106312,0.184825733,-0.039051498,0.01635514,102,0
성내3동,1.078552515,-0.153846154,0.016194332,0.058783322,0.184825733,-0.038900969,-0.02424821,110.7,0
용문동,1.068627451,0.286241921,0.108910891,0.125581395,0.223411817,-0.020086862,0.02498536,93.8,0
평창동,1.024636766,0.296121097,0.01986755,0.007920792,0.193055528,-0.028090463,0.017063922,119.7,0
오류1동,1.243534483,0.056620209,0.019047619,-0.051839465,0.202933011,-0.005701254,0.091703552,97.8,0
오류2동,1.445221445,-0.020194465,0.182352941,0.389952153,0.32369615,0.095192684,0.128883774,89.2,0
옥수동,0.859649123,-0.208598726,-0.048,-0.040865385,0.137143165,0.158915555,0.14176205,93.8,0
이촌1동,0.933333333,0.141382869,0.05,0.13371266,-0.134686341,0.03157621,0.02455243,99.5,0
